ImagePath,ValidationValue,camera
2017_NEN1_06210128,3,NEN1
2017_NEN1_07080869,1,NEN1
2017_NEN1_04100534,3,NEN1
2017_NEN1_04150007,4,NEN1
2017_NEN1_05250012,4,NEN1
2017_NEN1_05290565,0,NEN1
2017_NEN1_03160017,4,NEN1
2017_NEN1_05300734,0,NEN1
2017_NEN1_05110567,3,NEN1
2017_NEN1_05260177,4,NEN1
2017_NEN1_06190956,0,NEN1
2017_NEN1_06160585,0,NEN1
2017_NEN1_06220261,0,NEN1
2017_NEN1_05140893,4,NEN1
2017_NEN1_05060085,4,NEN1
2017_NEN1_07130409,1,NEN1
2017_NEN1_05290502,0,NEN1
2017_NEN1_06150456,0,NEN1
2017_NEN1_03220623,2,NEN1
2017_NEN1_06250572,0,NEN1
2017_NEN1_03170100,4,NEN1
2017_NEN1_06060446,0,NEN1
2017_NEN1_07120323,0,NEN1
2017_NEN1_02060081,4,NEN1
2017_NEN1_03200432,2,NEN1
2017_NEN1_05040865,4,NEN1
2017_NEN1_05290516,0,NEN1
2017_NEN1_04110629,4,NEN1
2017_NEN1_05290550,0,NEN1
2017_NEN1_05290534,0,NEN1
2017_NEN1_05280412,0,NEN1
2017_NEN1_05240900,4,NEN1
2017_NEN1_06210121,0,NEN1
2017_NEN1_05310833,3,NEN1
2017_NEN1_07170789,2,NEN1
2017_NEN1_06120108,3,NEN1
2017_NEN1_05280373,4,NEN1
2017_NEN1_06230374,0,NEN1
2017_NEN1_05120688,4,NEN1
2017_NEN1_06020043,0,NEN1
2017_NEN1_04070190,3,NEN1
2017_NEN1_06220256,0,NEN1
2017_NEN1_06010921,0,NEN1
2017_NEN1_07060679,4,NEN1
2017_NEN1_03280207,2,NEN1
2017_NEN1_05300675,0,NEN1
2017_NEN1_04040917,4,NEN1
2017_NEN1_05240907,4,NEN1
2017_NEN1_05290567,0,NEN1
2017_NEN1_06060455,0,NEN1
2017_NEN1_05200504,4,NEN1
2017_NEN1_05210594,3,NEN1
2017_NEN1_03280221,4,NEN1
2017_NEN1_03250932,4,NEN1
2017_NEN1_07170808,0,NEN1
2017_NEN1_05030780,4,NEN1
2017_NEN1_06030123,0,NEN1
2017_NEN1_06170711,3,NEN1
2017_NEN1_06070561,0,NEN1
2017_NEN1_01310504,2,NEN1
2017_NEN1_06030145,-1,NEN1
2017_NEN1_05300709,0,NEN1
2017_NEN1_06220237,0,NEN1
2017_NEN1_06140345,0,NEN1
2017_NEN1_05220740,3,NEN1
2017_NEN1_05220697,0,NEN1
2017_NEN1_05200491,4,NEN1
2017_NEN1_05290514,0,NEN1
2017_NEN1_06170691,0,NEN1
2017_NEN1_03250940,4,NEN1
2017_NEN1_06270808,4,NEN1
2017_NEN1_05200500,4,NEN1
2017_NEN1_05290540,0,NEN1
2017_NEN1_06150497,0,NEN1
2017_NEN1_07030395,4,NEN1
2017_NEN1_06290978,3,NEN1
2017_NEN1_06020044,0,NEN1
2017_NEN1_07160706,4,NEN1
2017_NEN1_05300703,0,NEN1
2017_NEN1_07140519,2,NEN1
2017_NEN1_05220704,3,NEN1
2017_NEN1_06140337,0,NEN1
2017_NEN1_05250045,3,NEN1
2017_NEN1_04130841,3,NEN1
2017_NEN1_05110588,3,NEN1
2017_NEN1_07110201,3,NEN1
2017_NEN1_05240933,4,NEN1
2017_NEN1_07090983,3,NEN1
2017_NEN1_07150600,4,NEN1
2017_NEN1_06070580,0,NEN1
2017_NEN1_05030793,3,NEN1
2017_NEN1_06170707,0,NEN1
2017_NEN1_06260716,0,NEN1
2017_NEN1_06170701,0,NEN1
2017_NEN1_04100526,0,NEN1
2017_NEN1_04080317,1,NEN1
2017_NEN1_06180825,0,NEN1
2017_NEN1_04210602,3,NEN1
2017_NEN1_06260693,3,NEN1
2017_NEN1_05300691,0,NEN1
2017_NEN1_06220259,0,NEN1
2017_NEN1_05290509,0,NEN1
2017_NEN1_05080313,0,NEN1
2017_NEN1_07080910,0,NEN1
2017_NEN1_05240928,3,NEN1
2017_NEN1_05150990,0,NEN1
2017_NEN1_05290551,0,NEN1
2017_NEN1_06170713,0,NEN1
2017_NEN1_06060445,0,NEN1
2017_NEN1_05030788,3,NEN1
2017_NEN1_05260125,4,NEN1
2017_NEN1_05290521,3,NEN1
2017_NEN1_04010589,3,NEN1
2017_NEN1_05290526,0,NEN1
2017_NEN1_02270093,4,NEN1
2017_NEN1_04040909,0,NEN1
2017_NEN1_05290569,0,NEN1
2017_NEN1_03010319,1,NEN1
2017_NEN1_06070553,0,NEN1
2017_NEN1_06210156,0,NEN1
2017_NEN1_07130405,3,NEN1
2017_NEN1_01280200,0,NEN1
2017_NEN1_06120071,0,NEN1
2017_NEN1_06260679,0,NEN1
2017_NEN1_06190917,4,NEN1
2017_NEN1_05210624,4,NEN1
2017_NEN1_07070811,0,NEN1
2017_NEN1_05250059,0,NEN1
2017_NEN1_06020067,0,NEN1
2017_NEN1_06030120,4,NEN1
2017_NEN1_06210138,0,NEN1
2017_NEN1_03190323,3,NEN1
2017_NEN1_05130779,3,NEN1
2017_NEN1_04210620,3,NEN1
2017_NEN1_03180226,0,NEN1
2017_NEN1_06220207,0,NEN1
2017_NEN1_03280212,0,NEN1
2017_NEN1_07060704,0,NEN1
2017_NEN1_06020059,0,NEN1
2017_NEN1_06140301,0,NEN1
2017_NEN1_05260129,0,NEN1
2017_NEN1_02070152,0,NEN1
2017_NEN1_02160040,0,NEN1
2017_NEN1_06150468,0,NEN1
2017_NEN1_05100486,3,NEN1
2017_NEN1_07170819,1,NEN1
2017_NEN1_02160057,0,NEN1
2017_NEN1_06020001,0,NEN1
2017_NEN1_05180295,0,NEN1
2017_NEN1_06170690,0,NEN1
2017_NEN1_06160588,0,NEN1
2017_NEN1_05090402,0,NEN1
2017_NEN1_02020692,0,NEN1
2017_NEN1_02270088,0,NEN1
2017_NEN1_05280398,0,NEN1
2017_NEN1_07170795,0,NEN1
2017_NEN1_06240471,0,NEN1
2017_NEN1_06020016,0,NEN1
2017_NEN1_06240498,0,NEN1
2017_NEN1_06160556,0,NEN1
2017_NEN1_05020680,0,NEN1
2017_NEN1_03170136,0,NEN1
2017_NEN1_07040476,0,NEN1
2017_NEN1_03080986,0,NEN1
2017_NEN1_04070213,0,NEN1
2017_NEN1_02130744,0,NEN1
2017_NEN1_04140895,0,NEN1
2017_NEN1_02160021,0,NEN1
2017_NEN1_06070550,0,NEN1
2017_NEN1_04040885,0,NEN1
2017_NEN1_06030148,-1,NEN1
2017_NEN1_04210599,0,NEN1
2017_NEN1_06020041,0,NEN1
2017_NEN1_02110567,0,NEN1
2017_NEN1_06080681,0,NEN1
2017_NEN1_06150469,0,NEN1
2017_NEN1_05030770,0,NEN1
2017_NEN1_06240455,0,NEN1
2017_NEN1_06190915,0,NEN1
2017_NEN1_02180222,0,NEN1
2017_NEN1_05160116,0,NEN1
2017_NEN1_03110276,0,NEN1
2017_NEN1_04010608,4,NEN1
2017_NEN1_06230393,0,NEN1
2017_NEN1_04070211,0,NEN1
2017_NEN1_02240802,0,NEN1
2017_NEN1_05070184,0,NEN1
2017_NEN1_04030826,0,NEN1
2017_NEN1_06150479,0,NEN1
2017_NEN1_06130222,0,NEN1
2017_NEN1_05070198,0,NEN1
2017_NEN1_02230736,0,NEN1
2017_NEN1_02200433,0,NEN1
2017_NEN1_05250007,0,NEN1
2017_NEN1_06180786,0,NEN1
2017_NEN1_04040912,0,NEN1
2017_NEN1_02270114,0,NEN1
2017_NEN1_02150946,0,NEN1
2017_NEN1_04250006,0,NEN1
2017_NEN1_02220620,0,NEN1
2017_NEN1_06050335,0,NEN1
2017_NEN1_03010291,0,NEN1
2017_NEN1_03190315,0,NEN1
2017_NEN1_03250937,3,NEN1
2017_NEN1_03250938,0,NEN1
2017_NEN1_03250939,0,NEN1
2017_NEN1_03040574,0,NEN1
2017_NEN1_03040575,0,NEN1
2017_NEN1_03040576,0,NEN1
2017_NEN1_04070202,0,NEN1
2017_NEN1_04070203,0,NEN1
2017_NEN1_04070204,0,NEN1
2017_NEN1_04130813,0,NEN1
2017_NEN1_04130814,0,NEN1
2017_NEN1_04130815,0,NEN1
2017_NEN1_05040898,4,NEN1
2017_NEN1_05040899,0,NEN1
2017_NEN1_05040900,0,NEN1
2017_NEN1_01300391,0,NEN1
2017_NEN1_01300392,0,NEN1
2017_NEN1_01300393,3,NEN1
2017_NEN1_07110202,0,NEN1
2017_NEN1_07110203,0,NEN1
2017_NEN1_07110204,0,NEN1
2017_NEN1_02200410,0,NEN1
2017_NEN1_02200411,0,NEN1
2017_NEN1_02200412,0,NEN1
2017_NEN1_07080919,0,NEN1
2017_NEN1_07080920,3,NEN1
2017_NEN1_07080921,0,NEN1
2017_NEN1_04100499,0,NEN1
2017_NEN1_04100500,4,NEN1
2017_NEN1_04100501,0,NEN1
2017_NEN1_06170679,0,NEN1
2017_NEN1_06170680,0,NEN1
2017_NEN1_06170681,0,NEN1
2017_NEN1_07090993,0,NEN1
2017_NEN1_07090994,3,NEN1
2017_NEN1_07090995,0,NEN1
2017_NEN1_03310514,0,NEN1
2017_NEN1_03310515,4,NEN1
2017_NEN1_03310516,0,NEN1
2017_NEN1_05300690,0,NEN1
2017_NEN1_05300692,0,NEN1
2017_NEN1_05300693,0,NEN1
2017_NEN1_06230365,0,NEN1
2017_NEN1_06230366,0,NEN1
2017_NEN1_06230367,0,NEN1
2017_NEN1_04240898,0,NEN1
2017_NEN1_04240899,4,NEN1
2017_NEN1_04240900,0,NEN1
2017_NEN1_06060468,0,NEN1
2017_NEN1_06060469,0,NEN1
2017_NEN1_06060470,0,NEN1
2017_NEN1_02260015,0,NEN1
2017_NEN1_02260016,2,NEN1
2017_NEN1_02260017,0,NEN1
2017_NEN1_03280193,0,NEN1
2017_NEN1_03280194,3,NEN1
2017_NEN1_03280195,0,NEN1
2017_NEN1_07130412,0,NEN1
2017_NEN1_07130413,0,NEN1
2017_NEN1_07130414,0,NEN1
2017_NEN1_04130810,0,NEN1
2017_NEN1_04130811,3,NEN1
2017_NEN1_04130812,0,NEN1
2017_NEN1_06170677,0,NEN1
2017_NEN1_06170678,0,NEN1
2017_NEN1_06170682,0,NEN1
2017_NEN1_05130818,0,NEN1
2017_NEN1_05130819,4,NEN1
2017_NEN1_05130820,0,NEN1
2017_NEN1_05280364,0,NEN1
2017_NEN1_05280365,4,NEN1
2017_NEN1_05280366,0,NEN1
2017_NEN1_07070787,0,NEN1
2017_NEN1_07070788,3,NEN1
2017_NEN1_07070789,0,NEN1
2017_NEN1_06190919,0,NEN1
2017_NEN1_06190920,3,NEN1
2017_NEN1_06190921,0,NEN1
2017_NEN1_03310532,0,NEN1
2017_NEN1_03310533,3,NEN1
2017_NEN1_03310534,0,NEN1
2017_NEN1_03160764,0,NEN1
2017_NEN1_03160765,4,NEN1
2017_NEN1_03170087,0,NEN1
2017_NEN1_06020064,0,NEN1
2017_NEN1_06020065,0,NEN1
2017_NEN1_06020066,0,NEN1
2017_NEN1_03230700,0,NEN1
2017_NEN1_03230701,4,NEN1
2017_NEN1_03230702,0,NEN1
2017_NEN1_06230390,0,NEN1
2017_NEN1_06230391,0,NEN1
2017_NEN1_06230392,0,NEN1
2017_NEN1_05300738,0,NEN1
2017_NEN1_05300739,0,NEN1
2017_NEN1_05300740,0,NEN1
2017_NEN1_07060684,3,NEN1
2017_NEN1_07060685,3,NEN1
2017_NEN1_07060686,0,NEN1
2017_NEN1_05290507,0,NEN1
2017_NEN1_05290508,0,NEN1
2017_NEN1_05290510,0,NEN1
2017_NEN1_05300699,0,NEN1
2017_NEN1_05300700,0,NEN1
2017_NEN1_05300701,0,NEN1
2017_NEN1_05240949,0,NEN1
2017_NEN1_05240950,3,NEN1
2017_NEN1_05240951,0,NEN1
2017_NEN1_04130819,0,NEN1
2017_NEN1_04130820,4,NEN1
2017_NEN1_04130821,0,NEN1
2017_NEN1_06170702,0,NEN1
2017_NEN1_06170703,0,NEN1
2017_NEN1_06170704,0,NEN1
2017_NEN1_05280433,0,NEN1
2017_NEN1_05280434,0,NEN1
2017_NEN1_05280435,0,NEN1
2017_NEN1_06060440,0,NEN1
2017_NEN1_06060441,0,NEN1
2017_NEN1_06060442,0,NEN1
2017_NEN1_03290300,0,NEN1
2017_NEN1_03290301,4,NEN1
2017_NEN1_03290302,3,NEN1
2017_NEN1_02190330,0,NEN1
2017_NEN1_02190331,0,NEN1
2017_NEN1_02190332,0,NEN1
2017_NEN1_05140922,0,NEN1
2017_NEN1_05140923,4,NEN1
2017_NEN1_05140924,0,NEN1
2017_NEN1_05290560,0,NEN1
2017_NEN1_05290561,0,NEN1
2017_NEN1_05290562,0,NEN1
2017_NEN1_06250607,0,NEN1
2017_NEN1_06250608,-1,NEN1
2017_NEN1_06250609,1,NEN1
2017_NEN1_05300682,0,NEN1
2017_NEN1_05300683,0,NEN1
2017_NEN1_05300684,0,NEN1
2017_NEN1_05140889,0,NEN1
2017_NEN1_05140891,3,NEN1
2017_NEN1_05140892,0,NEN1
2017_NEN1_05230806,0,NEN1
2017_NEN1_05230807,3,NEN1
2017_NEN1_05230808,0,NEN1
2017_NEN1_02020688,0,NEN1
2017_NEN1_02020689,3,NEN1
2017_NEN1_02020690,3,NEN1
2017_NEN1_06170733,0,NEN1
2017_NEN1_06170734,3,NEN1
2017_NEN1_06170735,0,NEN1
2017_NEN1_04130798,3,NEN1
2017_NEN1_04130799,4,NEN1
2017_NEN1_04130800,0,NEN1
2017_NEN1_06060471,0,NEN1
2017_NEN1_06060472,0,NEN1
2017_NEN1_06060473,0,NEN1
2017_NEN1_04070200,0,NEN1
2017_NEN1_04070201,4,NEN1
2017_NEN1_04070205,0,NEN1
2017_NEN1_05290525,0,NEN1
2017_NEN1_05290527,0,NEN1
2017_NEN1_05290528,0,NEN1
2017_NEN1_05280419,0,NEN1
2017_NEN1_05280420,0,NEN1
2017_NEN1_05280421,0,NEN1
2017_NEN1_05280407,0,NEN1
2017_NEN1_05280408,0,NEN1
2017_NEN1_05280409,0,NEN1
2017_NEN1_03130488,0,NEN1
2017_NEN1_03130489,4,NEN1
2017_NEN1_03130490,0,NEN1
2017_NEN1_05290533,0,NEN1
2017_NEN1_05290536,0,NEN1
2017_NEN1_05290537,0,NEN1
2017_NEN1_06230394,0,NEN1
2017_NEN1_06230395,0,NEN1
2017_NEN1_06230396,3,NEN1
2017_NEN1_06260719,0,NEN1
2017_NEN1_06260720,0,NEN1
2017_NEN1_06260723,0,NEN1
2017_NEN1_07060654,0,NEN1
2017_NEN1_07060655,3,NEN1
2017_NEN1_07060656,0,NEN1
2017_NEN1_05030817,0,NEN1
2017_NEN1_05040856,3,NEN1
2017_NEN1_05040857,3,NEN1
2017_NEN1_03200401,0,NEN1
2017_NEN1_03200402,4,NEN1
2017_NEN1_03200403,0,NEN1
2017_NEN1_05090371,0,NEN1
2017_NEN1_05090372,4,NEN1
2017_NEN1_05090373,4,NEN1
2017_NEN1_07070757,0,NEN1
2017_NEN1_07070758,3,NEN1
2017_NEN1_07070759,0,NEN1
2017_NEN1_03190297,0,NEN1
2017_NEN1_03190298,3,NEN1
2017_NEN1_03190299,0,NEN1
2017_NEN1_05080277,0,NEN1
2017_NEN1_05080278,4,NEN1
2017_NEN1_05080279,0,NEN1
2017_NEN1_05290579,0,NEN1
2017_NEN1_05290580,0,NEN1
2017_NEN1_05290581,0,NEN1
2017_NEN1_04010613,0,NEN1
2017_NEN1_04010614,3,NEN1
2017_NEN1_04010615,0,NEN1
2017_NEN1_02050968,0,NEN1
2017_NEN1_02050969,3,NEN1
2017_NEN1_02050970,0,NEN1
2017_NEN1_06140333,0,NEN1
2017_NEN1_06140334,0,NEN1
2017_NEN1_06140335,0,NEN1
2017_NEN1_03250928,0,NEN1
2017_NEN1_03250929,3,NEN1
2017_NEN1_03250930,0,NEN1
2017_NEN1_02110553,0,NEN1
2017_NEN1_02110554,2,NEN1
2017_NEN1_02110555,0,NEN1
2017_NEN1_05100496,0,NEN1
2017_NEN1_05100497,3,NEN1
2017_NEN1_05100498,3,NEN1
2017_NEN1_07120288,0,NEN1
2017_NEN1_07120289,3,NEN1
2017_NEN1_07120290,0,NEN1
2017_NEN1_03100176,0,NEN1
2017_NEN1_03100177,4,NEN1
2017_NEN1_03100178,3,NEN1
2017_NEN1_06140338,0,NEN1
2017_NEN1_06140339,0,NEN1
2017_NEN1_06140340,0,NEN1
2017_NEN1_05260152,0,NEN1
2017_NEN1_05260153,4,NEN1
2017_NEN1_05260154,0,NEN1
2017_NEN1_05250032,0,NEN1
2017_NEN1_05250033,0,NEN1
2017_NEN1_05250034,4,NEN1
2017_NEN1_07130422,1,NEN1
2017_NEN1_07130423,1,NEN1
2017_NEN1_07130424,0,NEN1
2017_NEN1_05290577,0,NEN1
2017_NEN1_05290578,0,NEN1
2017_NEN1_05290579,0,NEN1
2017_NEN1_04100522,3,NEN1
2017_NEN1_04100523,3,NEN1
2017_NEN1_04100524,3,NEN1
2017_NEN1_07100115,0,NEN1
2017_NEN1_07100116,4,NEN1
2017_NEN1_07100117,0,NEN1
2017_NEN1_05250077,0,NEN1
2017_NEN1_05250078,0,NEN1
2017_NEN1_05250079,0,NEN1
2017_NEN1_05290555,0,NEN1
2017_NEN1_05290556,0,NEN1
2017_NEN1_05290557,0,NEN1
2017_NEN1_06200996,0,NEN1
2017_NEN1_06200997,0,NEN1
2017_NEN1_06200998,0,NEN1
2017_NEN1_05030782,0,NEN1
2017_NEN1_05030783,3,NEN1
2017_NEN1_05030784,0,NEN1
2017_NEN1_06070554,0,NEN1
2017_NEN1_06070555,0,NEN1
2017_NEN1_06070556,0,NEN1
2017_NEN1_02280224,0,NEN1
2017_NEN1_02280225,0,NEN1
2017_NEN1_02280226,0,NEN1
2017_NEN1_06220241,0,NEN1
2017_NEN1_06220242,0,NEN1
2017_NEN1_06220243,0,NEN1
2017_NEN1_05150007,0,NEN1
2017_NEN1_05150008,4,NEN1
2017_NEN1_05150009,0,NEN1
2017_NEN1_07050602,0,NEN1
2017_NEN1_07050603,3,NEN1
2017_NEN1_07050604,0,NEN1
2017_NEN1_06190926,3,NEN1
2017_NEN1_06190927,3,NEN1
2017_NEN1_06190928,3,NEN1
2017_NEN1_05300688,0,NEN1
2017_NEN1_05300689,0,NEN1
2017_NEN1_05300694,0,NEN1
2017_NEN1_06070556,0,NEN1
2017_NEN1_06070557,0,NEN1
2017_NEN1_06070558,0,NEN1
2017_NEN1_05240913,3,NEN1
2017_NEN1_05240914,3,NEN1
2017_NEN1_05240915,0,NEN1
2017_NEN1_06060452,0,NEN1
2017_NEN1_06060453,0,NEN1
2017_NEN1_06060454,0,NEN1
2017_NEN1_02130749,0,NEN1
2017_NEN1_02130750,0,NEN1
2017_NEN1_02130751,0,NEN1
2017_NEN1_05190392,0,NEN1
2017_NEN1_05190393,3,NEN1
2017_NEN1_05190394,0,NEN1
2017_NEN1_03160035,0,NEN1
2017_NEN1_03160036,0,NEN1
2017_NEN1_03160037,0,NEN1
2017_NEN1_06130177,0,NEN1
2017_NEN1_06130178,0,NEN1
2017_NEN1_06130179,0,NEN1
2017_NEN1_06160605,0,NEN1
2017_NEN1_06160606,0,NEN1
2017_NEN1_06160607,0,NEN1
2017_NEN1_07130402,0,NEN1
2017_NEN1_07130403,3,NEN1
2017_NEN1_07130404,3,NEN1
2017_NEN1_06070577,0,NEN1
2017_NEN1_06070578,0,NEN1
2017_NEN1_06070579,0,NEN1
2017_NEN1_06220265,0,NEN1
2017_NEN1_06220266,0,NEN1
2017_NEN1_06220267,0,NEN1
2017_NEN1_03100203,4,NEN1
2017_NEN1_03100204,0,NEN1
2017_NEN1_03100205,0,NEN1
2017_NEN1_06130229,0,NEN1
2017_NEN1_06130230,0,NEN1
2017_NEN1_06130231,0,NEN1
2017_NEN1_06150486,0,NEN1
2017_NEN1_06150487,0,NEN1
2017_NEN1_06150488,0,NEN1
2017_NEN1_05230821,0,NEN1
2017_NEN1_05230822,4,NEN1
2017_NEN1_05230823,0,NEN1
2017_NEN1_07070807,0,NEN1
2017_NEN1_07070808,0,NEN1
2017_NEN1_07070809,0,NEN1
2017_NEN1_07150603,1,NEN1
2017_NEN1_07150604,3,NEN1
2017_NEN1_07150605,1,NEN1
2017_NEN1_05290519,0,NEN1
2017_NEN1_05290520,0,NEN1
2017_NEN1_05290522,0,NEN1
2017_NEN1_05280422,0,NEN1
2017_NEN1_05280424,0,NEN1
2017_NEN1_05280425,0,NEN1
2017_NEN1_05150997,0,NEN1
2017_NEN1_05150998,3,NEN1
2017_NEN1_05150999,0,NEN1
2017_NEN1_07080906,0,NEN1
2017_NEN1_07080907,4,NEN1
2017_NEN1_07080908,0,NEN1
2017_NEN1_06230384,0,NEN1
2017_NEN1_06230385,-1,NEN1
2017_NEN1_06230386,-1,NEN1
2017_NEN1_06210113,0,NEN1
2017_NEN1_06210114,0,NEN1
2017_NEN1_06210115,0,NEN1
2017_NEN1_05230811,0,NEN1
2017_NEN1_05230812,4,NEN1
2017_NEN1_05230813,0,NEN1
2017_NEN1_03150668,0,NEN1
2017_NEN1_03150669,3,NEN1
2017_NEN1_03150670,3,NEN1
