Unnamed: 0,ImagePath,ValidationValue,camera
,2017_SGN2_03260023,0,SGN2
,2017_SGN2_02100591,3,SGN2
,2017_SGN2_04090417,0,SGN2
,2017_SGN2_04010644,0,SGN2
,2017_SGN2_02180386,3,SGN2
,2017_SGN2_03260026,0,SGN2
,2017_SGN2_02100592,0,SGN2
,2017_SGN2_04090422,0,SGN2
,2017_SGN2_04020694,3,SGN2
,2017_SGN2_02180388,3,SGN2
,2017_SGN2_03260029,0,SGN2
,2017_SGN2_02100593,0,SGN2
,2017_SGN2_04090427,0,SGN2
,2017_SGN2_04020698,3,SGN2
,2017_SGN2_02180390,4,SGN2
,2017_SGN2_03260032,0,SGN2
,2017_SGN2_02100594,0,SGN2
,2017_SGN2_04090432,0,SGN2
,2017_SGN2_04020702,3,SGN2
,2017_SGN2_02180392,3,SGN2
,2017_SGN2_03260035,0,SGN2
,2017_SGN2_02100595,0,SGN2
,2017_SGN2_04100479,0,SGN2
,2017_SGN2_04020706,0,SGN2
,2017_SGN2_02180394,0,SGN2
,2017_SGN2_03260038,0,SGN2
,2017_SGN2_02100596,3,SGN2
,2017_SGN2_04100484,0,SGN2
,2017_SGN2_04020710,3,SGN2
,2017_SGN2_02180396,4,SGN2
,2017_SGN2_03260041,0,SGN2
,2017_SGN2_02100597,0,SGN2
,2017_SGN2_04100489,0,SGN2
,2017_SGN2_04020714,0,SGN2
,2017_SGN2_02180398,0,SGN2
,2017_SGN2_03260044,0,SGN2
,2017_SGN2_02110652,0,SGN2
,2017_SGN2_04100494,0,SGN2
,2017_SGN2_04020718,0,SGN2
,2017_SGN2_02180400,0,SGN2
,2017_SGN2_03260996,0,SGN2
,2017_SGN2_02110653,0,SGN2
,2017_SGN2_04100499,0,SGN2
,2017_SGN2_04020722,0,SGN2
,2017_SGN2_02180419,-1,SGN2
,2017_SGN2_03270092,0,SGN2
,2017_SGN2_02110654,0,SGN2
,2017_SGN2_04100504,0,SGN2
,2017_SGN2_04020726,3,SGN2
,2017_SGN2_02190455,0,SGN2
,2017_SGN2_03270095,0,SGN2
,2017_SGN2_02110655,0,SGN2
,2017_SGN2_04100510,0,SGN2
,2017_SGN2_04020730,0,SGN2
,2017_SGN2_02190457,3,SGN2
,2017_SGN2_03270098,0,SGN2
,2017_SGN2_02110656,0,SGN2
,2017_SGN2_04100515,0,SGN2
,2017_SGN2_04020734,0,SGN2
